variable,symbol,units,description,category,n*
drought resistance,$Rt$,-,ratio of growth during drought year to mean growth of the 5 years prior. ,-,1623
,$Rt_{ARIMA}$,-,ratio of growth during drought year to growth predicted by ARIMA model. ,-,1654
drought year ,$Y$,-,year of drought,1966,513
,,,,1977,543
,,,,1999,567
height,$H$,m,estimated H in drought year,-,-
topographic wetness index,$TWI$,-,steady-state wetness index based on slope and upstream contributing area,-,-
wood density,$WD$,g cm$^{-3}$,dry mass of a unit volume of fresh wood,-,-
leaf mass per area,$LMA$,kg m$^{-2}$,ratio of leaf dry mass to fresh leaf area,-,-
xylem porosity,,-,vessel arrangement in xylem,ring (R) ,408
,,,,semi-ring (SR),31
,,,,diffuse (D),178
turgor loss point,$\pi_{tlp}$,MPa,water potential at which leaves wilt,-,-
percent loss area,$PLA_{dry}$,\%,percent loss of leaf area upon dessication,-,-